party,Should the US government fund needle exchange programs?,Should the US continue providing military aid to Israel?,Should the federal government pay reparations to the descendants of slaves?,Should the United States implement a universal basic income?,Should school dress codes be implemented and enforced?,Should the government provide free internet access to all citizens?,Should more gun control laws be enacted?,Should abortion be legal?,Should teachers get tenure?,Should the US military budget be reduced?,Should the drinking age be lowered from 21 to a younger age?,Should performance-enhancing drugs be accepted in sports?,Should the US implement a cap-and-trade system for carbon emissions?,Should cities defund the police to combat systemic discrimination?,Should the United States maintain its embargo against Cuba?,Should the United States ban the sale of sugary drinks in schools?,Should the government use controlled burns to control wildfires?,Should the government provide grants for minority-owned businesses?,"Should colleges use affirmative action policies, such as considering an applicant’s ethnicity, income level, etc.?",Should the US provide reparations for Native American tribes?
Democrat,Strongly No,Slightly Yes,Mostly No,Slightly Yes,Mostly Yes,Mostly Yes,Strongly Yes,Mostly No,Mostly No,Neutral,,,,,,,,,,
Republican,Strongly No,Strongly No,Strongly No,Strongly No,Mostly Yes,Strongly Yes,Strongly No,Mostly No,Strongly No,Strongly Yes,,,,,,,,,,
Democrat,Strongly No,Strongly No,Strongly Yes,Strongly Yes,Slightly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,,,,,,,,,,
Republican,Mostly Yes,Mostly Yes,Slightly No,Strongly No,Neutral,Neutral,Mostly Yes,Strongly Yes,Neutral,Mostly No,,,,,,,,,,
Democrat,Strongly No,Mostly Yes,Strongly Yes,Strongly Yes,Slightly No,Strongly Yes,Mostly Yes,Mostly Yes,Strongly Yes,Slightly Yes,,,,,,,,,,
Republican,Strongly Yes,Strongly Yes,Strongly Yes,Strongly No,Slightly Yes,Strongly Yes,Mostly No,Neutral,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Mostly No,Slightly No,Strongly No,Strongly No,Mostly No,Mostly Yes,Strongly Yes,Strongly Yes,Mostly Yes,Strongly No,,,,,,,,,,
Republican,Strongly No,Mostly No,Strongly No,Strongly No,Strongly No,Strongly No,Strongly No,Neutral,Strongly Yes,Strongly No,,,,,,,,,,
Democrat,Mostly No,Mostly Yes,Mostly No,Slightly No,Mostly Yes,Strongly Yes,Strongly Yes,Strongly Yes,Slightly Yes,Slightly Yes,,,,,,,,,,
Republican,Slightly No,Mostly No,Strongly No,Mostly No,Neutral,Mostly Yes,Slightly Yes,Neutral,Mostly Yes,Mostly No,,,,,,,,,,
